Absorbance_and_Fluorescence,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
2022-05-27 14:40:37,,,,
,,,,
Assay was completed successfully.,,,,
,,,,
,,,,
Results,,,,
,,,,
Well,Sample,OD(590),Fluorescence (RFU),Fluorescence 1 (RFU)
A1,A1,0.045,5013,1374
A2,A2,0.044,4684,1139
A3,A3,0.045,4847,1498
A4,A4,0.046,4569,1135
A5,A5,0.045,4707,1178
A6,A6,0.046,4859,1352
A7,A7,0.045,5468,1510
A8,A8,0.046,4463,1283
A9,A9,0.044,5578,1296
A10,A10,0.044,5591,1520
A11,A11,0.048,4760,1196
A12,A12,0.046,4890,1374
B1,B1,0.045,5186,1173
B2,B2,0.072,137137,1369
B3,B3,0.267,301068,102058
B4,B4,0.565,533606,157739
B5,B5,0.746,766796,201054
B6,B6,0.785,876526,406717
B7,B7,0.779,897416,560770
B8,B8,0.778,880116,637253
B9,B9,0.776,877249,700323
B10,B10,0.765,865861,717513
B11,B11,0.472,133542,796355
B12,B12,0.037,5259,1210
C1,C1,0.047,5045,1236
C2,C2,0.07,143138,1496
C3,C3,0.73,753053,1423
C4,C4,0.774,846411,1859
C5,C5,0.765,847341,1864
C6,C6,0.757,854726,1940
C7,C7,0.739,867081,2088
C8,C8,0.737,861958,2007
C9,C9,0.699,833724,2037
C10,C10,0.73,826582,1958
C11,C11,0.494,69667,1120
C12,C12,0.038,4927,1279
D1,D1,0.047,4881,1268
D2,D2,0.135,299291,1429
D3,D3,0.319,500880,88434
D4,D4,0.549,671308,125586
D5,D5,0.79,862870,169690
D6,D6,0.836,970061,327639
D7,D7,0.835,998767,380853
D8,D8,0.83,981510,620042
D9,D9,0.836,983588,660276
D10,D10,0.853,963047,684192
D11,D11,0.556,127501,821956
D12,D12,0.041,5810,1383
E1,E1,0.048,5223,1194
E2,E2,0.15,347929,1497
E3,E3,0.824,929200,1778
E4,E4,0.845,965924,2209
E5,E5,0.86,1002692,1961
E6,E6,0.857,1016531,2259
E7,E7,0.866,1020528,2225
E8,E8,0.839,978906,2343
E9,E9,0.834,973539,2281
E10,E10,0.81,924252,2117
E11,E11,0.515,79620,1123
E12,E12,0.039,5507,1453
F1,F1,0.047,5000,1361
F2,F2,0.323,779383,1997
F3,F3,0.503,892960,64560
F4,F4,0.748,1009816,96026
F5,F5,0.983,1138126,124781
F6,F6,1.021,1251235,260017
F7,F7,1.02,1192245,421571
F8,F8,1.017,1201407,545231
F9,F9,1.053,1233872,548729
F10,F10,1.074,1200449,522960
F11,F11,0.521,113348,794336
F12,F12,0.04,4997,1298
G1,G1,0.047,4946,1261
G2,G2,0.325,800200,1928
G3,G3,1.017,1178345,2404
G4,G4,1.052,1236851,2610
G5,G5,1.046,1265611,2701
G6,G6,1.068,1300664,2822
G7,G7,1.056,1220997,2659
G8,G8,1.063,1225323,2834
G9,G9,1.06,1220087,2716
G10,G10,1.046,1178011,2304
G11,G11,0.525,80636,1145
G12,G12,0.038,5506,1340
H1,H1,0.048,4912,1378
H2,H2,0.047,5103,1284
H3,H3,0.049,5204,1269
H4,H4,0.045,6064,1487
H5,H5,0.046,4454,1155
H6,H6,0.046,5375,1251
H7,H7,0.047,5714,1668
H8,H8,0.045,4935,1296
H9,H9,0.046,5678,1660
H10,H10,0.052,5653,1336
H11,H11,0.046,5226,1356
H12,H12,0.048,5221,1335
