smiles,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_transition_10,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_osc_strength_10
Cc1sc(C)c2OCC(C)(C)COc12,30,0,1,2.3069,212.3062,1903.392,3252.0175,-977.4535256,0.251394,0.266211,0.267156,0.210563,-977.208599,-977.193782,-977.192838,-977.249431,C11H16O2S,1,-0.21095,-0.01358,0.112265,0.098685,2.5571,2392.101,3332.001,250.29,249.7,242.35,240.15,232.16,229.6,227.32,218.68,216.51,214.68,0.037,0.0003,0.0999,0.164,0.0003,0.0178,0.0034,0.0127,0.0001,0.0103
Cc1sc(C)c2OCC(CC(C)C)(CC(C)C)COc12,48,0,1,2.334,296.467,3310.264,7178.1117,-1213.33938,0.42151,0.444447,0.445392,0.369765,-1212.926155,-1212.903217,-1212.902273,-1212.977899,C17H28O2S,1,-0.21113,-0.01297,0.11205,0.09908,3.8736,3076.204,7232.7887,250.96,249.87,243.11,239.9,233.37,232,230.27,225.78,223.87,217.4,0.0121,0.0016,0.1288,0.1693,0.0015,0.0038,0.0043,0.012,0.0096,0.0035
Cc1sc(C)c2OCC(CC)(CC)COc12,36,0,1,1.6095,240.3598,2124.275,4528.9213,-1056.069227,0.308537,0.326158,0.327102,0.26377,-1055.77693,-1055.759309,-1055.758364,-1055.821697,C13H20O2S,1,-0.20579,-0.00889,0.10734,0.09845,6.9808,1900.667,4487.9213,255.58,254.45,246.86,243.87,240.62,239.36,238.48,229.44,227.27,227,0.0028,0.0001,0.1351,0.1667,0.0018,0.0032,0.0364,0.015,0.0039,0.005
Cc1sc(C)c2OCC(CCC(=O)OCCCCCCC)(CCC(=O)OCCCCCCC)COc12,84,0,1,0.8686,524.7546,4779.895,42512.4358,-1983.666303,0.736476,0.778733,0.779677,0.650225,-1982.930247,-1982.88799,-1982.887046,-1983.016498,C29H48O6S,1,-0.20825,-0.012,0.110125,0.098125,4.1337,5669.178,43042.3008,257.59,255.88,247.79,245.26,243.8,240.68,239.7,235.92,234.86,231.5,0.0026,0.0053,0.0922,0.058,0.1334,0.0234,0.0013,0.0119,0.0111,0.0131
Cc1sc(C)c2OCC(CCOCC(CC)CCCC)(CCOCC(CC)CCCCC)COc12,89,0,1,2.2076,510.8142,5330.442,31640.1952,-1874.873507,0.800793,0.843527,0.844471,0.716595,-1874.072714,-1874.02998,-1874.029036,-1874.156912,C30H54O4S,1,-0.20481,-0.00904,0.106925,0.097885,6.6655,4051.136,31655.3106,260.03,255.65,247.12,245.52,244.01,242.72,240.47,237.73,232.77,231.75,0.0017,0.0005,0.0962,0.0665,0.0449,0.1012,0.0307,0.012,0.0032,0.0007
Cc1sc(C)c2OCC(CCOCCCCCCCC)(CCOCCCCCCCC)COc12,86,0,1,2.4953,496.7874,4218.448,39347.6967,-1835.547673,0.773204,0.814361,0.815305,0.688435,-1834.788121,-1834.746964,-1834.74602,-1834.87289,C29H52O4S,1,-0.20944,-0.01215,0.110795,0.098645,3.2596,4674.496,37045.0192,254.12,253.76,246.06,243.1,240.79,238.37,237.91,232.17,227.79,225.82,0.0001,0.0045,0.1299,0.1685,0.0326,0.0161,0.0016,0.0174,0.0029,0.001
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,80,0,1,1.6732,468.7338,4324.103,24368.9965,-1756.925033,0.714871,0.753752,0.754696,0.636308,-1756.223889,-1756.185009,-1756.184064,-1756.302452,C27H48O4S,1,-0.20555,-0.00852,0.107035,0.098515,7.4181,4418.106,23607.8625,255.32,253.79,246.44,243.3,239.79,238.5,237.79,234.4,230.09,226.73,0.0031,0.0001,0.1336,0.2124,0.0021,0.002,0.0027,0.0022,0.0073,0.0072
Cc1sc(C)c2OCC(COCC(CCCC)CCCCCCCCC)(COCC(CCCCCC)CCCCCCCCC)COc12,128,0,1,3.8198,693.1626,7459.577,66581.3341,-2385.946672,1.170264,1.230583,1.231527,1.053769,-2384.813686,-2384.753367,-2384.752422,-2384.930181,C43H80O4S,1,-0.20203,-0.0098,0.105915,0.096115,7.6856,6536.01,66584.3313,260.25,256.68,249.58,248.52,245.97,243.51,243.02,241.04,240.3,237.68,0.0012,0.0024,0,0.1078,0.0864,0.0512,0.089,0.0058,0.0055,0.0025
Cc1sc(C)c2OCC(COCCCCCCCC)(COCCCCCCCC)COc12,80,0,1,2.8274,468.7338,4392.882,32683.2497,-1756.939656,0.715113,0.753175,0.75412,0.637731,-1756.236548,-1756.198485,-1756.197541,-1756.313929,C27H48O4S,1,-0.20516,-0.00808,0.10662,0.09854,7.8611,5536.234,33470.7628,255.34,253.6,246.4,243.31,239.81,238.19,232.31,229.45,228.04,221.69,0.0029,0.0001,0.1354,0.2032,0.0032,0.0013,0.0052,0.003,0.0079,0.0033
Cc1sc(C)c2OCCCOc12,24,0,1,1.8559,184.2526,1673.977,2288.8261,-898.8157857,0.196009,0.208006,0.20895,0.158012,-898.626109,-898.614112,-898.613168,-898.664106,C9H12O2S,1,-0.20693,-0.00945,0.10819,0.09874,7.2004,1603.246,2348.9025,254.36,253.44,246.04,242.72,239,238.3,229.64,223.64,218.82,217.35,0.0013,0.0006,0.1424,0.152,0.0071,0.0021,0.0394,0.0137,0.0124,0.0032
Cc1sc(C)c2OCCOc12,21,0,1,2.101,170.2258,1246.844,1916.6634,-859.5038039,0.167179,0.178083,0.179027,0.130355,-859.34142,-859.330516,-859.329572,-859.378244,C8H10O2S,1,-0.20475,-0.00942,0.107085,0.097665,7.2132,1700.241,1960.3974,258.73,255.12,247.88,243.73,242.01,239.47,235.94,223.93,223.48,220.96,0.0017,0.0004,0.1575,0.0761,0.062,0.0002,0.0413,0.0006,0.0088,0.0001
Cc1sc(C)c2O[C@H](C)CC(C)Oc12,30,0,1,1.9871,212.3062,1883.248,3080.6214,-977.4549368,0.251361,0.266315,0.267259,0.210062,-977.211641,-977.196688,-977.195744,-977.25294,C11H16O2S,1,-0.20443,-0.00716,0.105795,0.098635,2.1532,1982.366,3141.9153,256.12,255.16,246.69,242.89,241.11,239.51,234.71,230.19,222.51,222.13,0.001,0.001,0.1353,0.144,0.0034,0.0178,0.0142,0.004,0.0109,0.0016
Cc3ccc2c1ccc(C)cc1C(CCCCCCCC)(CCCCCCCC)c2c3,77,0,1,0.5358,418.7044,4713.544,21927.4785,-1209.154993,0.69583,0.730884,0.731828,0.621559,-1208.4665,-1208.431446,-1208.430502,-1208.540771,C31H46,1,-0.2089,-0.03597,0.122435,0.086465,1.1044,3918.488,22193.7994,289.03,276.39,262.33,241.78,235.07,232.86,231.93,230.42,225.55,221.3,0.2994,0.164,0.0012,0.0044,0.0028,0.0159,0.0236,0.0695,0.0084,0.0085
Cc3ccc2c1ccc(C)cc1n(CCCCCCCC)c2c3,52,0,1,2.3459,307.4778,3440.481,11421.0298,-910.6684522,0.458125,0.481795,0.482739,0.400765,-910.216918,-910.193248,-910.192304,-910.274278,C22H29N,1,-0.20031,-0.03079,0.11555,0.08476,3.6266,3006.246,11664.97,314.26,290.48,260.14,252.23,250.26,249.27,247.9,239.75,238.93,237.1,0.0359,0.1432,0.0055,0.3766,0.0382,0.1023,0.035,0.005,0.0076,0.0127
Cc4ccc(c2ccc(c1ccc(C)s1)c3nsnc23)s4,33,0,1,1.377,328.4642,2358.988,10463.9447,-1921.014522,0.239742,0.258529,0.259473,0.189333,-1920.787171,-1920.768384,-1920.76744,-1920.837581,C16H12N2S3,1,-0.19766,-0.10251,0.150085,0.047575,4.8296,2729.686,10607.1212,558.08,380.13,345.18,344.37,336.06,303.64,282.56,281.61,281.4,273.79,0.3108,0.007,0.1468,0.001,0.5702,0.0788,0.0045,0.0352,0,0.0006
Cc5sc(c3ccc(c2sc(C)c1OCCOc12)c4nsnc34)c6OCCOc56,45,0,1,0.1525,444.5374,3699.069,17521.9812,-2376.69969,0.329788,0.355306,0.35625,0.271979,-2376.384086,-2376.358569,-2376.357624,-2376.441895,C20H16N2O4S3,1,-0.19536,-0.09007,0.142715,0.052645,2.0785,2912.033,17660.3844,524.23,430.01,417.94,415.95,314.91,310.29,295.19,281.43,275.34,270.47,0.233,0.0002,0.0087,0.0054,0.1067,0.5149,0.0543,0,0.0109,0.0616
